id,speed(m/s)
2022_15_07_41-Jan-20.wav,8.91
2022_15_07_44-Jan-20.wav,8.66
2022_15_07_47-Jan-20.wav,6.74
2022_15_07_50-Jan-20.wav,6.36
2022_15_07_54-Jan-20.wav,2.97
2022_15_07_57-Jan-20.wav,3.77
2022_15_08_00-Jan-20.wav,6.2
2022_15_08_03-Jan-20.wav,6.31
2022_15_10_00-Jan-20.wav,12.67
2022_15_10_04-Jan-20.wav,13.5
2022_15_10_07-Jan-20.wav,14.1
2022_15_10_10-Jan-20.wav,14.55
2022_15_10_13-Jan-20.wav,14.42
2022_15_10_23-Jan-20.wav,12.91
2022_15_10_26-Jan-20.wav,12.61
2022_15_10_29-Jan-20.wav,12.93
2022_15_10_33-Jan-20.wav,13.12
2022_15_10_36-Jan-20.wav,13.29
2022_15_10_39-Jan-20.wav,13.94
2022_15_10_42-Jan-20.wav,15.38
2022_15_10_45-Jan-20.wav,13.95
2022_15_10_49-Jan-20.wav,14.32
2022_15_10_52-Jan-20.wav,13.32
2022_15_10_55-Jan-20.wav,14.31
2022_15_10_58-Jan-20.wav,13.12
2022_15_11_02-Jan-20.wav,11.94
2022_15_11_05-Jan-20.wav,12.9
2022_15_11_08-Jan-20.wav,15.83
2022_15_11_11-Jan-20.wav,15.27
2022_15_11_14-Jan-20.wav,13.75
2022_15_11_18-Jan-20.wav,8.69
2022_15_11_21-Jan-20.wav,7.31
2022_15_11_24-Jan-20.wav,6.52
2022_15_11_27-Jan-20.wav,3.82
2022_15_11_30-Jan-20.wav,3.87
2022_15_11_34-Jan-20.wav,8.25
2022_15_11_37-Jan-20.wav,10.43
2022_15_11_40-Jan-20.wav,12.07
2022_15_11_43-Jan-20.wav,12.92
2022_15_11_47-Jan-20.wav,11.59
2022_15_11_50-Jan-20.wav,10.07
2022_15_11_53-Jan-20.wav,9.44
2022_15_11_56-Jan-20.wav,8.05
2022_15_11_59-Jan-20.wav,6.96
2022_15_12_03-Jan-20.wav,4.5
2022_15_12_06-Jan-20.wav,2.6
2022_15_12_16-Jan-20.wav,9.9
2022_15_12_19-Jan-20.wav,10.33
2022_15_12_22-Jan-20.wav,7.97
2022_15_12_25-Jan-20.wav,5.67
2022_15_12_28-Jan-20.wav,4.08
2022_15_12_32-Jan-20.wav,1.12
2022_15_12_54-Jan-20.wav,8.09
2022_15_12_57-Jan-20.wav,10.45
2022_15_13_01-Jan-20.wav,11.33
