Surface,ID,RMS,RMS_filt,Zero-Cross,Zero-Cross_filt,Spectral_centroid,Spectral_centroid_filt,Spectral_slope,Spectral_slope_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt
Wet Asphalt,2021_15_04_19-Nov-10.wav,15.171382316562255,2835.0298476635908,7853.0,9788.0,1037.3683826612814,1155.8387980813864,-1.1248869545973756e-09,-1.1115438688771879e-09,1711.5414290900007,1690.2352893636805,3430.0783127091713,2835.0298471132196
Wet Asphalt,2021_15_04_30-Nov-10.wav,22.258919048768433,1509.0736149132333,8975.0,10232.0,1161.8001291393189,1300.3745478345372,-1.110872456094255e-09,-1.095265096731846e-09,1805.5806204829933,1841.0232042288887,1773.9045139395523,1509.0736144641505
Wet Asphalt,2021_15_04_40-Nov-10.wav,17.09418467482412,2117.4780965799687,7010.0,8534.0,810.0431785650914,935.256751465041,-1.1504901372473109e-09,-1.1363875831994461e-09,1388.1582896968864,1453.158259867579,2600.6909903809255,2117.478086666169
Wet Asphalt,2021_15_08_34-Nov-10.wav,36.016282626986076,448.10910469228725,3886.0,5375.0,695.7731490213629,863.453518796038,-1.1633601419150886e-09,-1.1444746375504559e-09,1635.77873540424,1801.4474157857371,659.886127420763,448.1091043950833
Wet Asphalt,2021_15_08_44-Nov-10.wav,19.14124081118855,1892.1522453894659,6713.0,8015.0,759.4898798027936,872.4490921237136,-1.1561838540831269e-09,-1.1434614841349994e-09,1368.4298806514796,1375.302091622757,2356.485392830443,1892.1522453307105
Wet Asphalt,2021_15_08_55-Nov-10.wav,12.228742485591622,2958.287777093132,6718.0,7984.0,803.0465348123117,875.3068649181847,-1.1512781552264485e-09,-1.1431396189061978e-09,1573.876963118276,1383.9972959273975,3620.069430040282,2958.287769360727
Wet Asphalt,2021_15_09_05-Nov-10.wav,17.140917918824627,1974.6669739931701,7154.0,9509.0,918.7806180245309,1059.3606733865363,-1.13824325712491e-09,-1.1224100069198496e-09,1737.684297137127,1691.7254795741155,2658.0153367300977,1974.6669195120048
Wet Asphalt,2021_15_09_15-Nov-10.wav,19.888775646163268,1713.401253751741,7551.0,9871.0,1049.473944391368,1235.6616730885125,-1.1235235294141111e-09,-1.1025535782643372e-09,1763.720616780257,1868.635123487954,2236.894368864519,1713.4012516716518
Wet Asphalt,2021_15_09_25-Nov-10.wav,19.096675833541166,1769.4239073691267,7689.0,10000.0,1025.6423566828319,1133.991636706813,-1.1262076334287343e-09,-1.1140044709264842e-09,1868.267075899012,1723.43374012198,2274.794179400907,1769.4239010578547
Wet Asphalt,2021_15_09_35-Nov-10.wav,21.0767408274204,2044.3037808097322,6857.0,7600.0,969.6482378466245,1083.1751184467598,-1.1325141389373753e-09,-1.119727833647388e-09,1680.9550357258902,1719.8808558986723,2324.612777197637,2044.3037755218877
Wet Asphalt,2021_15_09_46-Nov-10.wav,22.5106891470734,1514.9141436301827,6022.0,7236.0,879.9778643214853,890.7132876362889,-1.1426135335943823e-09,-1.1414044243579203e-09,1899.6221773193909,1489.3419926576532,1810.3666445739584,1514.9141404000675
Wet Asphalt,2021_15_09_56-Nov-10.wav,16.920207933002988,2408.511409211864,6997.0,8666.0,869.8608862482063,1014.0010039887358,-1.1437529885813706e-09,-1.127518775677586e-09,1490.3054157471051,1570.2339022743463,3024.171049751134,2408.5114073970644
Wet Asphalt,2021_15_10_06-Nov-10.wav,15.211909582908598,2512.7330487370427,6513.0,8119.0,795.1208235772989,941.759789864014,-1.152170812216189e-09,-1.1356551590031478e-09,1424.8638649538757,1537.3605641912648,3199.330101336159,2512.733043486836
Wet Asphalt,2021_15_10_16-Nov-10.wav,14.018015048901,2530.660669376481,6442.0,7800.0,822.1288613670946,956.4778850523937,-1.1491289509879204e-09,-1.1339974894065653e-09,1450.7344887785912,1538.5224038304432,3093.692294447044,2530.6606665064546
Wet Asphalt,2021_15_10_26-Nov-10.wav,28.110470432451024,1197.9432225152173,4962.0,6117.0,783.3851454645445,912.2658910091635,-1.1534925781481118e-09,-1.1389769977866731e-09,1529.9752288601665,1608.98722159103,1464.6195724923655,1197.9432061033824
Wet Asphalt,2021_15_10_37-Nov-10.wav,28.215205605782963,892.2982903586259,4811.0,5590.0,687.4879421030307,750.3935230581703,-1.1642932881839592e-09,-1.1572083585330735e-09,1634.943194483009,1481.5070225122647,1089.8225046887355,892.2982894182443
Wet Asphalt,2021_15_10_47-Nov-10.wav,33.060011908836074,733.6943703330869,4086.0,5479.0,694.8346775457392,807.4413134233799,-1.1634658400786413e-09,-1.1507831801094893e-09,1549.8988742492209,1596.1799720281167,925.6081533847527,733.6943690190826
Wet Asphalt,2021_15_10_57-Nov-10.wav,29.731476014135556,917.1161234168001,6907.0,7867.0,1082.5600324231148,1226.1476477417427,-1.1197971095548763e-09,-1.1036251238928034e-09,1927.824008723375,1998.2973659875593,1082.177846506883,917.116113986645
Wet Asphalt,2021_15_11_07-Nov-10.wav,18.01820436960163,1992.0977950090848,7151.0,8700.0,917.0215649187418,1021.081838281734,-1.1384413757547273e-09,-1.126721275486446e-09,1705.0095398973108,1638.6877220251038,2411.1943008062167,1992.0977665832595
Wet Asphalt,2021_15_11_17-Nov-10.wav,40.926282339348084,565.1804931025542,6600.0,8314.0,1043.2215985877663,1128.4065303862335,-1.1242277186052599e-09,-1.1146335102704215e-09,2093.0908991777,1929.7718468841072,688.9652204000043,565.1804686171686
Wet Asphalt,2021_15_13_40-Nov-10.wav,60.37272641326883,219.02800891839246,6469.0,8084.0,994.2479827171335,1163.7221456711072,-1.1297435189193903e-09,-1.110655983220008e-09,2116.9454430750275,2259.6692083068065,290.1155350061054,219.02800844122368
Wet Asphalt,2021_15_13_50-Nov-10.wav,24.078850059510238,1529.70312257045,7193.0,8110.0,855.5669298216686,960.417036540942,-1.1453628882783e-09,-1.1335538306602857e-09,1534.932706863557,1600.5901376226461,1751.0462745026455,1529.703122545046
Wet Asphalt,2021_15_14_00-Nov-10.wav,15.439067948155701,2252.3453644515275,8117.0,10240.0,926.0127972060092,1039.375103698349,-1.1374287112619617e-09,-1.1246609416242704e-09,1536.6302082026639,1513.8678278181515,2782.930142788657,2252.3453624785984
Wet Asphalt,2021_15_14_11-Nov-10.wav,13.908206309942699,3501.2226651029887,6576.0,7370.0,1034.1513837128496,1107.3206242568467,-1.125249278748755e-09,-1.1170083736654267e-09,1821.314145461336,1797.8701616238004,3864.322236556943,3501.2226650705816
Wet Asphalt,2021_15_14_21-Nov-10.wav,11.303144689746144,3745.9853270378994,6125.0,6870.0,862.498177759535,943.1360512205595,-1.1445822356988786e-09,-1.1355001534417289e-09,1557.2911772475697,1589.9555949027078,4147.3149553983285,3745.985323085205
Wet Asphalt,2021_15_14_31-Nov-10.wav,13.080142194726255,3434.722686941707,7906.0,10085.0,871.0762307852733,1011.028235971742,-1.1436161067591863e-09,-1.1278535925880888e-09,1461.2746301565187,1566.2983198714896,4329.283229809998,3434.722681054717
Wet Asphalt,2021_15_14_41-Nov-10.wav,8.045862380710242,3786.1892101520266,7441.0,9748.0,784.710748297188,906.9202072386875,-1.153343278154825e-09,-1.1395790714480974e-09,1332.3543016246576,1357.07955245491,4880.19604183527,3786.1892078266924
Wet Asphalt,2021_15_14_51-Nov-10.wav,12.4674485807193,3676.8168449983386,8017.0,10369.0,876.9438340862736,1020.6739364010599,-1.142955250345881e-09,-1.1267672166586782e-09,1431.7623205478308,1539.1205214144425,4722.95605308153,3676.816840183258
Wet Asphalt,2021_15_15_02-Nov-10.wav,10.907827846425192,3247.8548586843553,7726.0,10237.0,976.3223925466377,1121.370608175218,-1.1317624422546528e-09,-1.115425952103678e-09,1526.8969663737814,1601.3522605760666,4184.2956210471075,3247.8548412068662
Wet Asphalt,2021_15_15_12-Nov-10.wav,12.234245476361677,3078.326597383521,7517.0,9898.0,883.5923993522619,1027.2719322299483,-1.1422064357498846e-09,-1.1260240975971463e-09,1450.226396618794,1521.55736677958,4022.4731505929053,3078.3265893191956
Wet Asphalt,2021_15_15_22-Nov-10.wav,12.245952734314193,3277.633879460549,8503.0,10245.0,1031.9520148942715,1128.654508725911,-1.125496989255826e-09,-1.1146055809664572e-09,1763.3221949746094,1658.4814353972727,4040.26124534999,3277.6338793629075
Wet Asphalt,2021_15_15_32-Nov-10.wav,11.600136180573758,3407.0772517055893,8024.0,9614.0,846.0386239378859,965.4303290567123,-1.1464360422950612e-09,-1.132989193560457e-09,1377.8178549924182,1462.429190071311,4122.271959092689,3407.0772227543057
Wet Asphalt,2021_15_15_42-Nov-10.wav,12.797654327370166,3860.5783657683346,9631.0,11459.0,1146.7986465837823,1258.0638763832044,-1.1125620430426812e-09,-1.1000304629547286e-09,1727.1891798546774,1736.3012851468407,4552.347229966173,3860.5783602781157
Wet Asphalt,2021_15_15_53-Nov-10.wav,11.662449551351605,4188.691283360371,11279.0,12826.0,1217.4928866464913,1318.0584976338557,-1.1045998923088011e-09,-1.093273388867844e-09,1741.0078608571241,1790.3025989425264,4712.595856571535,4188.691282464088
Wet Asphalt,2021_15_16_03-Nov-10.wav,11.81351490920784,3536.0023663586067,7313.0,8898.0,929.6892318346155,1009.2392221183713,-1.1370146417896786e-09,-1.1280550856369269e-09,1669.4008153141756,1512.2147140327318,4330.25339034052,3536.002336325709
Wet Asphalt,2021_15_16_13-Nov-10.wav,16.886939450023377,2354.216542721506,7783.0,8899.0,858.1986361210113,1006.6759501187007,-1.1450664844662766e-09,-1.1283437818307781e-09,1445.1202057929406,1611.3456844842697,2869.607759361932,2354.2164978654378
Wet Asphalt,2021_15_16_23-Nov-10.wav,20.10197318192433,1591.340659634007,9684.0,11993.0,1207.3180690145468,1353.437377963394,-1.1057458616494918e-09,-1.0892887364021012e-09,1813.199930295209,1866.965287447997,1955.0704283328357,1591.340648574039
Wet Asphalt,2021_15_16_33-Nov-10.wav,20.860137941523742,1580.7722575186299,8761.0,10110.0,1117.8275193455768,1207.6229883869537,-1.1158250031055716e-09,-1.1057115191910023e-09,1829.731191521414,1761.2727992779473,1833.1258169136142,1580.772223617586
Wet Asphalt,2021_15_16_44-Nov-10.wav,17.505749822062803,1905.0691101841019,8354.0,9437.0,1025.4917390762319,1117.9734730554676,-1.126224597188241e-09,-1.1158085646314147e-09,1629.7608039264398,1633.5953437228004,2185.112744169463,1905.069091995266
Wet Asphalt,2021_15_16_54-Nov-10.wav,21.177963816927132,1804.2939324424722,9061.0,9846.0,1112.8417583633327,1185.9966239110468,-1.116386539383895e-09,-1.1081472533276203e-09,1862.3778324337932,1759.7586668508338,2025.7670943293529,1804.2938238657234
Wet Asphalt,2021_15_17_04-Nov-10.wav,23.45822389850832,1268.4763088180969,9184.0,10650.0,1222.2536715335557,1300.1202722979656,-1.104063694637693e-09,-1.09529373527649e-09,1977.302095644499,1830.705418201859,1502.4933157648056,1268.476303184975
Wet Asphalt,2021_15_17_14-Nov-10.wav,24.52172512307868,1142.200276558139,9026.0,10074.0,1185.830086109346,1277.930944702748,-1.10816601014683e-09,-1.0977928748222276e-09,1914.8614693850086,1834.183107401026,1323.8717147926272,1142.200265993199
