Label,RMS,RMS_filt,Spectral_centroid,Spectral_centroid_filt,Zero-Cross,Zero-Cross_filt,Spectral_slope,Spectral_slope_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt
Dry gravel,2666.0992456340537,2405.4374998761705,5661,6199,1198.4612462575722,1281.531387812718,-3.719567455615375e-08,-3.521187162143088e-08,970.0863834165357,951.0252360469567,2666.098521915964,2405.4374760785036
Dry gravel,2748.582528618033,2572.318057343546,5706,6076,1246.5766788747528,1311.700144539041,-3.604662708079755e-08,-3.4491409768228306e-08,1009.955664454531,999.7047118279871,2748.5817067710636,2572.317801198279
Dry gravel,3014.69823941364,2767.767561132338,5391,5819,1208.5308834383652,1272.879068707038,-3.69552009585785e-08,-3.541849816272085e-08,1016.8295005225251,999.6505839045274,3014.695469042083,2767.7635074125014
Dry gravel,3083.8579248535475,2732.0995599682014,4831,5365,1129.4314607624165,1203.9923375899402,-3.884417892228237e-08,-3.7063586238835935e-08,1004.4325280083303,979.2601965101794,3083.8577332965538,2732.0990314570313
Dry gravel,2725.7310039625995,2535.722538453601,4671,4962,1215.0242951995629,1279.6801154127313,-3.680013141051861e-08,-3.525608196646355e-08,1070.8038109332317,1060.9914133892566,2725.730313821015,2535.722473536142
Dry gravel,3504.5529797184086,3224.417964750205,5137,5442,1216.5483261763795,1290.857282980078,-3.676373593715337e-08,-3.498915937060795e-08,1062.9665179740662,1054.0531904842924,3504.552893666673,3224.4178961936177
Dry gravel,3263.1432506170627,3010.6626295354185,4982,5342,1188.9367569519716,1257.9481941951847,-3.7423129445268685e-08,-3.577506325482353e-08,1036.0140794558702,1026.8008040090604,3263.1432352351458,3010.6626250285813
Dry gravel,3024.794381972799,2750.3726116471394,5095,5523,1198.2194043440393,1273.2830652107928,-3.720144999711032e-08,-3.540885029846105e-08,1035.9557627455574,1023.9321826508575,3024.7937368932794,2750.3724940574957
Dry gravel,3496.752737918903,3173.6622835129097,6155,6751,1229.553783237298,1305.926864085795,-3.645315185240451e-08,-3.4629281818181733e-08,955.4257709984533,936.7245817079862,3496.7520339061894,3173.6622395176264
Dry gravel,3600.5006208221585,3252.717790640776,5917,6415,1224.9922985047433,1301.6852488571121,-3.656208493750259e-08,-3.47305760808506e-08,967.0916849304067,946.047988050556,3600.4987759250175,3252.715883602378
Dry gravel,3432.034438470314,3038.072586085787,5758,6341,1184.7573732686876,1269.6645926909514,-3.7522937552742865e-08,-3.5495263253461364e-08,964.599883672047,946.0585371980425,3432.034330276913,3038.0721727287046
Dry gravel,3351.384959822444,3016.5232432468033,5938,6515,1202.50293977528,1282.3084823915717,-3.709915463561941e-08,-3.519331378010273e-08,947.1287624953131,928.8883445026971,3351.382823404973,3016.5225194565896
Dry gravel,3457.655412884513,3131.00242475151,5955,6569,1211.90958719892,1292.3943091388062,-3.6874513935416294e-08,-3.49524535585394e-08,948.3834205357881,928.5739354395863,3457.6452338437684,3131.0024179652746
